Client ID,Last purchased date,Item name,last_purchase_stage,Purchased product category,Purchased product subcategory,Purchased coach,Item Total,acquisition_date
100001387,2024-11-06,20 Lesson Pack (Kim On You),lesson,lesson,20 lesson,Kim On You,0.0,2024-11-06
100001387,2024-11-06,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-06
100001387,2025-02-15,20 Lesson Pack (Kim On You),lesson,lesson,20 lesson,Kim On You,1853.0,2024-11-06
100001388,2024-11-06,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001389,2024-11-06,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001389,2025-01-23,25 Practice Credits,practice,practice,25 practice,others,408.75,2024-11-06
100001390,2024-11-06,10 Lesson Pack (Jasper  Park),lesson,lesson,10 lesson,Jasper Park,0.0,2024-11-06
100001390,2024-11-06,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001390,2025-01-26,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-06
100001390,2025-02-17,25 Practice Credits,practice,practice,25 practice,others,408.75,2024-11-06
100001390,2025-03-08,50 Practice Credits,practice,practice,50 practice,others,763.0,2024-11-06
100001391,2024-11-06,100 Practice Credits,practice,practice,100 practice,others,0.0,2024-11-06
100001391,2024-11-06,50 Lesson Pack  (Joey Poh),lesson,lesson,50 lesson,Joey Poh,0.0,2024-11-06
100001391,2025-05-12,50 Lesson Pack  (Joey Poh),lesson,lesson,50 lesson,Joey Poh,4360.0,2024-11-06
100001391,2025-05-12,50 Practice Credits,practice,practice,50 practice,others,610.4,2024-11-06
100001392,2024-11-06,10 Lesson Pack  (Johnson Poh),lesson,lesson,10 lesson,Johnson Poh,0.0,2024-11-06
100001392,2024-11-06,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-06
100001393,2024-11-06,10 Lesson Pack  (Johnson Poh),lesson,lesson,10 lesson,Johnson Poh,0.0,2024-11-06
100001393,2024-11-06,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001393,2025-06-21,10 Lesson Pack  (Johnson Poh),lesson,lesson,10 lesson,Johnson Poh,981.0,2024-11-06
100001393,2025-06-22,10 Practice Credits,practice,practice,10 practice,others,156.96,2024-11-06
100001394,2024-11-06,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001395,2024-11-06,10 Lesson Pack  (Johnson Poh),lesson,lesson,10 lesson,Johnson Poh,0.0,2024-11-06
100001395,2024-11-06,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-06
100001396,2024-11-06,50 Practice Credits,practice,practice,50 practice,others,0.0,2024-11-06
100001397,2024-11-06,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001398,2024-11-06,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,0.0,2024-11-06
100001399,2024-11-06,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001399,2025-07-15,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-06
100001400,2024-11-06,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001400,2024-12-09,Trial Lessom W/ Johnson Poh,trial,trial,Trial lesson,Johnson Poh,0.0,2024-11-06
100001400,2025-03-09,10 Lesson Pack  (Johnson Poh),lesson,lesson,10 lesson,Johnson Poh,981.0,2024-11-06
100001400,2025-03-09,10 Practice Credits,practice,practice,10 practice,others,156.96,2024-11-06
100001400,2025-06-29,10 Lesson Pack  (Johnson Poh),lesson,lesson,10 lesson,Johnson Poh,981.0,2024-11-06
100001400,2025-06-29,10 Practice Credits,practice,practice,10 practice,others,156.96,2024-11-06
100001401,2024-11-06,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-06
100001402,2024-11-06,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-06
100001402,2024-12-09,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001402,2025-06-26,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-06
100001403,2024-11-06,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,0.0,2024-11-06
100001403,2024-11-06,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001403,2024-12-09,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,0.0,2024-11-06
100001403,2024-12-09,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001403,2025-03-22,10 Lesson Pack (Joey Poh.),lesson,lesson,10 lesson,Joey Poh,981.0,2024-11-06
100001403,2025-03-22,10 Practice Credits,practice,practice,10 practice,others,156.96,2024-11-06
100001404,2024-11-06,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
100001405,2024-11-06,25 Practice Credits,practice,practice,25 practice,others,0.0,2024-11-06
100001405,2025-03-25,10 Practice Credits,practice,practice,10 practice,others,174.4,2024-11-06
100001406,2024-11-06,10 Practice Credits,practice,practice,10 practice,others,0.0,2024-11-06
